70/3,,,,,,70/6,,,,,,70/9,,,,,,70/12,,,,,,70/18,,,,,,70/24,,,,,
texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),GG,G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent
80.1,0.502882,554.4,549.7,71.71,0.130452974,80.1,0.498319,178.2,169.8,53.98,0.317903416,80.1,0.499356,95.42,86.1,41.13,0.477700348,80.1,0.499516,44.68,40.06,19.78,0.493759361,80.1,0.499785,38.12,36.84,9.789,0.265716612,80.1,0.499492,23.49,22.74,5.894,0.259190853
82.1,0.505091,554.5,549.7,73.02,0.132836092,82.1,0.498587,178.4,170.1,53.9,0.316872428,82.1,0.499559,95.49,86.17,41.15,0.477544389,82.1,0.499815,44.7,40.1,19.75,0.492518703,82.1,0.49991,38.18,36.9,9.809,0.265826558,82.1,0.499874,23.53,22.78,5.902,0.259086918
84.1,0.504099,554.7,550.1,71.87,0.130648973,84.1,0.499164,178.6,170.2,54.05,0.317567568,84.1,0.500288,95.55,86.24,41.13,0.476924861,84.1,0.499495,44.7,40.09,19.77,0.493140434,84.1,0.498629,38.26,36.98,9.782,0.264521363,84.1,0.499169,23.57,22.83,5.876,0.25738064
86.1,0.500715,554.9,550.2,71.9,0.130679753,86.1,0.499494,178.8,170.4,54.09,0.317429577,86.1,0.500323,95.6,86.28,41.17,0.477167362,86.1,0.49977,44.71,40.09,19.79,0.493639312,86.1,0.497908,38.33,37.05,9.814,0.26488529,86.1,0.498271,23.62,22.88,5.878,0.256905594
88.1,0.498774,555.1,550.4,71.78,0.130414244,88.1,0.499559,178.9,170.6,54.09,0.317057444,88.1,0.499663,95.66,86.36,41.14,0.476377953,88.1,0.500382,44.71,40.09,19.8,0.49388875,88.1,0.498347,38.39,37.11,9.846,0.265319321,88.1,0.49899,23.67,22.92,5.895,0.257198953
90.1,0.500492,555.3,550.5,72.48,0.131662125,90.1,0.499414,179,170.7,54.13,0.317106034,90.1,0.499401,95.71,86.4,41.17,0.47650463,90.1,0.500194,44.74,40.14,19.75,0.492027902,90.1,0.49879,38.47,37.19,9.849,0.264829255,90.1,0.500153,23.7,22.96,5.898,0.256881533
92.1,0.501562,555.6,550.9,71.72,0.130186967,92.1,0.498718,179.2,170.9,54.09,0.316500878,92.1,0.499812,95.76,86.45,41.18,0.476344708,92.1,0.499554,44.74,40.15,19.75,0.491905355,92.1,0.498867,38.53,37.26,9.827,0.263741278,92.1,0.50024,23.74,23,5.891,0.256130435
94.1,0.499873,555.6,550.8,72.81,0.132189542,94.1,0.498889,179.5,171.1,54.03,0.315780245,94.1,0.50035,95.8,86.48,41.21,0.476526364,94.1,0.499801,44.7,40.1,19.75,0.492518703,94.1,0.498764,38.6,37.33,9.823,0.263139566,94.1,0.499765,23.78,23.04,5.897,0.255946181
96.1,0.500324,555.8,551.1,72.4,0.131373616,96.1,0.499737,179.6,171.3,54.1,0.315820198,96.1,0.500228,95.85,86.55,41.18,0.475794339,96.1,0.499933,44.72,40.12,19.75,0.49227318,96.1,0.498194,38.66,37.39,9.853,0.263519658,96.1,0.49939,23.82,23.07,5.919,0.25656697
98.1,0.506195,556.1,551.3,73.53,0.133375658,98.1,0.499373,179.8,171.5,54.04,0.315102041,98.1,0.500218,95.89,86.59,41.19,0.475690033,98.1,0.499393,44.73,40.12,19.78,0.493020937,98.1,0.498888,38.71,37.42,9.943,0.265713522,98.1,0.499085,23.87,23.13,5.902,0.25516645
