70/3,,,,,,,,,70/6,,,,,,,,,70/9,,,,,,,,,70/12,,,,,,,,,70/18,,,,,,,,,70/24,,,,,,,,
gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G""",gamma*(%),Initial G',"Initial G""",gamma*(%),Sandwich G',"Sandwich G""",gamma*(%),Swelled G',"Swelled G"""
234.228,260.7,440.7,25.1219,240.4,43.76,251.534,11.33,10.16,266.521,155.8,368.8,250.617,52.54,49.55,251.6,5.198,6.386,240.611,183,249.3,250.216,24.62,33.71,251.017,6.479,6.301,250.195,161.7,178.5,250.647,24.23,30.07,251.467,2.43,2.389,250.158,49.42,70.63,251.723,9.023,18.1,251.175,0.425,1.39,250.355,24.78,37.94,251.255,1.156,3.245,251.345,0.5356,1.537
357.18,138.4,357,31.6298,234,48.66,316.777,9.374,9.644,477.325,58.16,233.8,315.468,48.46,48.32,318.059,3.945,5.656,310.984,154.3,223.5,315.468,22.54,32.43,315.979,5.911,6.354,307.513,114.3,160.8,315.71,20.87,28.25,316.607,2.188,2.357,314.872,47.58,66.49,316.851,7.02,15.89,316.25,0.3549,1.268,314.783,22.07,36.38,316.331,0.9104,2.921,316.462,0.3333,1.19
656.945,38.65,188,39.8124,225.6,54.25,399.003,7.466,9.107,558.408,36.29,193.7,396.88,44.82,47.47,400.197,2.62,4.115,386.755,129.8,199.7,397.015,20.33,30.42,397.932,5.122,6.367,378.712,85.1,142.3,397.651,17.34,26.26,398.448,1.893,2.3,396.667,46.33,61.81,399.053,5.491,14,398.213,0.2934,1.129,396.736,19.58,34.98,398.27,0.7137,2.601,398.465,0.2,0.8899
1053.67,14.06,120,50.1226,215.2,60.37,499.69,6.119,8.554,1180.48,25.32,144.9,500.025,40.96,46.64,500.229,2.166,3.47,470.059,127.9,188.5,500.013,18.54,28.76,500.173,4.17,6.261,461.633,75.53,130.3,501.239,14.14,23.86,499.807,1.644,2.332,500.287,44.04,56.66,500.617,4.496,12.43,501.432,0.2247,0.963,499.759,16.73,32.78,501.449,0.5572,2.293,501.447,0.1447,0.6833
,,,63.0686,202.9,67.16,,,,,,,630.1,35.62,45.36,,,,,,,627.955,17.02,28.39,,,,,,,630.371,11.51,21.39,,,,630.542,39.25,50.53,631.152,3.779,11.23,631.1,0.1591,0.7601,628.719,14.74,30.64,631.17,0.439,2.021,631.004,0.1164,0.5153
,,,79.3567,190.2,73.85,,,,,,,794.297,30.33,42.98,,,,,,,798.934,14.13,26.14,,,,,,,795.641,9.171,18.6,,,,795.685,33.21,43.73,795.839,3.047,10.16,794.356,0.1246,0.6134,794.001,13.02,28.46,794.487,0.352,1.786,794.351,0.1015,0.3898
,,,99.8597,177.8,80.49,,,,,,,1001.82,24.01,40.23,,,,,,,1000.23,10.25,21.45,,,,,,,1002.02,7.423,15.77,,,,1000,26.37,37.06,998.955,2.633,9.289,999.947,0.1097,0.5343,991.855,11.54,26.3,1000.16,0.285,1.587,1000,0.09412,0.3137
,,,125.687,164.4,86.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,158.23,150.6,92.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,199.152,137.7,95.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
