70/3,,,,,,70/6,,,,,,70/9,,,,,,70/12,,,,,,70/18,,,,,,70/24,,,,,
gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G"""
5.01831,253,30.76,50.1132,113.9,61.08,50.0536,86.45,44.79,50.1333,53.45,28.29,50.0966,47.39,44.62,50.126,22.78,12.11,50.079,55.61,36.05,50.1174,17.41,19.6,50.0341,28.67,27.94,50.121,19.21,6.469,50.1232,4.457,4.624,50.1395,11.21,3.937
6.3063,252.7,31.29,63.1014,109.7,61.66,62.955,82.69,45.69,63.1117,51.09,28.2,63.0363,42.81,42.84,63.1032,21.51,11.96,63.0763,50.23,36.22,63.0901,16.02,18.41,62.9758,24.89,26.87,63.095,18.78,6.64,63.1189,3.889,4.569,63.128,10.77,3.947
7.94436,252.1,32.03,79.4336,104.1,62,79.2352,78.84,46.84,79.4643,48.26,27.94,79.3413,38.86,41.04,79.442,20.23,11.77,79.4034,45.16,35.85,79.4434,14.73,17.25,79.4238,21.08,25.6,79.4406,18.24,6.838,79.4402,3.316,4.473,79.4784,10.29,3.938
10.0019,251.4,33.1,99.999,97.07,61.84,99.7465,73.9,48.37,100.04,45,27.43,99.827,35.41,39.3,99.9895,18.99,11.51,99.9366,40.32,35.08,100.005,13.49,16.1,99.813,17.81,24.51,100.004,17.58,7.044,100.009,2.762,4.327,100.058,9.784,3.909
12.5885,250.1,34.65,125.909,88.44,61.02,125.596,68.24,49.77,125.962,41.35,26.62,125.589,32.51,37.82,125.891,17.83,11.21,125.788,35.74,34.01,125.972,12.23,14.88,125.711,15.15,23.15,125.889,16.79,7.225,125.897,2.262,4.115,125.978,9.273,3.863
15.8496,248.1,36.82,158.542,78.35,59.41,158.131,62.38,50.53,158.574,37.49,25.5,158.149,29.72,36.7,158.436,16.77,10.91,158.296,31.45,32.79,158.636,10.92,13.64,157.732,12.68,21.55,158.52,15.89,7.348,158.511,1.825,3.854,158.581,8.763,3.817
19.9533,244.9,39.81,199.612,67.39,56.84,199.046,57.12,50.42,199.654,33.57,24.07,199.124,26.99,35.06,199.367,15.83,10.65,199.18,27.64,31.42,199.737,9.66,12.41,199.356,10.73,19.86,199.557,14.94,7.402,199.542,1.457,3.558,199.724,8.198,3.766
25.1219,240.4,43.76,251.278,56.53,53.27,250.617,52.54,49.55,251.32,29.81,22.41,250.216,24.62,33.71,250.953,14.94,10.45,250.647,24.23,30.07,251.526,8.434,11.2,251.723,9.023,18.1,251.22,14,7.391,251.255,1.156,3.245,251.493,7.601,3.681
31.6298,234,48.66,316.192,46.58,48.91,315.468,48.46,48.32,316.404,26.37,20.59,315.468,22.54,32.43,315.937,14.02,10.34,315.71,20.87,28.25,316.554,7.25,10.03,316.851,7.02,15.89,316.253,13.12,7.338,316.331,0.9104,2.921,316.555,7.032,3.611
39.8124,225.6,54.25,397.917,38.02,44.2,396.88,44.82,47.47,398.376,23.33,18.71,397.015,20.33,30.42,397.821,12.88,10.4,397.651,17.34,26.26,398.211,6.303,9.101,399.053,5.491,14,398.062,12.32,7.29,398.27,0.7137,2.601,398.375,6.514,3.56
